"","species","comm"
"74","Leuconostoc pseudomesenteroides","2_2_2"
"75","Deinococcus geothermalis","2_2_2"
"76","Bifidobacterium subtile","2_2_2"
"77","Eggerthella lenta","2_2_2"
"78","Trichococcus palustris","2_2_2"
"79","Collinsella intestinalis","2_2_2"
"80","Microbacterium resistens","2_2_2"
"81","Roseomonas mucosa","2_2_2"
"82","Enterococcus italicus","2_2_2"
"83","Tetrasphaera jenkinsii","2_2_2"
"84","Kribbia dieselivorans","2_2_2"
"85","Gordonibacter pamelaeae","2_2_2"
"86","Haematomicrobium sanguinis","2_2_2"
"87","Leucobacter salsicius","2_2_2"
"88","Kocuria indica","2_2_2"
"89","Micrococcus sp. KBS0714","2_2_2"
"90","Collinsella sp. CAG:289","2_2_2"
"91","Tessaracoccus massiliensis","2_2_2"
"92","Romboutsia timonensis","2_2_2"
"93","Collinsella bouchesdurhonensis","2_2_2"
"94","Tessaracoccus sp. T2.5-30","2_2_2"
"95","Acinetobacter lwoffii","4_8_7"
"96","Acinetobacter haemolyticus","4_8_7"
"97","Acinetobacter johnsonii","4_8_7"
"98","Acinetobacter radioresistens","4_8_7"
"99","Acinetobacter pittii","4_8_7"
"100","Acinetobacter venetianus","4_8_7"
"101","Acinetobacter nosocomialis","4_8_7"
"102","Acinetobacter ursingii","4_8_7"
"103","Acinetobacter schindleri","4_8_7"
"104","Acinetobacter tandoii","4_8_7"
"105","Acinetobacter indicus","4_8_7"
"106","Acinetobacter sp. NCu2D-2","4_8_7"
"107","Acinetobacter sp. ACNIH1","4_8_7"
"108","Acinetobacter sp. ACNIH2","4_8_7"
"109","Acinetobacter sp. DUT-2","4_8_7"
"110","Acinetobacter sp. WCHAc010034","4_8_7"
"111","Acinetobacter wuhouensis","4_8_7"
"112","Acinetobacter sp. WCHA55","4_8_7"
"113","Acinetobacter sp. WCHAc010052","4_8_7"
"114","Acinetobacter chinensis","4_8_7"
"115","Clostridium sp. CAG:1000","6_4_3"
"116","Clostridium sp. CAG:302","6_4_3"
"117","Clostridium sp. CAG:356","6_4_3"
"118","Clostridium sp. CAG:417","6_4_3"
"119","Clostridium sp. CAG:433","6_4_3"
"120","Clostridium sp. CAG:465","6_4_3"
"121","Clostridium sp. CAG:524","6_4_3"
"122","Clostridium sp. CAG:533","6_4_3"
"123","Clostridium sp. CAG:628","6_4_3"
"124","Clostridium sp. CAG:710","6_4_3"
"125","Clostridium sp. CAG:780","6_4_3"
"126","Clostridium sp. CAG:793","6_4_3"
"127","Clostridium sp. CAG:914","6_4_3"
"128","Mycoplasma sp. CAG:472","6_4_3"
"129","Mycoplasma sp. CAG:611","6_4_3"
"130","Firmicutes bacterium CAG:884","6_4_3"
"131","Firmicutes bacterium CAG:582","6_4_3"
"132","Firmicutes bacterium CAG:321","6_4_3"
"133","Firmicutes bacterium CAG:460","6_4_3"
"134","Alistipes putredinis","5_1_1"
"135","Alistipes finegoldii","5_1_1"
"136","Alistipes onderdonkii","5_1_1"
"137","Alistipes indistinctus","5_1_1"
"138","Alistipes sp. CAG:157","5_1_1"
"139","Alistipes sp. CAG:29","5_1_1"
"140","Bacteroides sp. CAG:545","5_1_1"
"141","Bacteroides sp. CAG:709","5_1_1"
"142","Prevotella sp. CAG:279","5_1_1"
"143","Sutterella sp. CAG:397","5_1_1"
"144","Alistipes ihumii","5_1_1"
"145","Alistipes inops","5_1_1"
"146","Duodenibacillus massiliensis","5_1_1"
"147","Alistipes communis","5_1_1"
"148","Alistipes dispar","5_1_1"
"149","Prevotella denticola","1_1_15"
"150","Prevotella disiens","1_1_15"
"151","Prevotella stercorea","1_1_15"
"152","Bacteroides sp. CAG:598","1_1_15"
"153","Prevotella sp. CAG:1092","1_1_15"
"154","Prevotella sp. CAG:1185","1_1_15"
"155","Prevotella sp. CAG:487","1_1_15"
"156","Prevotella sp. CAG:520","1_1_15"
"157","Prevotella sp. CAG:592","1_1_15"
"158","Prevotella sp. CAG:604","1_1_15"
"159","Prevotella sp. CAG:732","1_1_15"
"160","Prevotella sp. CAG:891","1_1_15"
"161","Cellulomonas carbonis","1_1_15"
"162","Pseudomonas fragi","7_5_9"
"163","Pseudomonas tolaasii","7_5_9"
"164","Pseudomonas avellanae","7_5_9"
"165","Pseudomonas orientalis","7_5_9"
"166","Pseudomonas lundensis","7_5_9"
"167","Pseudomonas sp. B10","7_5_9"
"168","Pseudomonas extremorientalis","7_5_9"
"169","Pseudomonas trivialis","7_5_9"
"170","Pseudomonas antarctica","7_5_9"
"171","Pseudomonas yamanorum","7_5_9"
"172","Pseudomonas sp. TKP","7_5_9"
"173","Pseudomonas sp. S09G 359","7_5_9"
"174","Pseudomonas sp. NIBRBAC000502773","7_5_9"
"175","Streptococcus suis","12_18_19"
"176","Streptococcus dysgalactiae","12_18_19"
"177","Streptococcus ovis","12_18_19"
"178","Streptococcus orisratti","12_18_19"
"179","Streptococcus minor","12_18_19"
"180","Halolactibacillus miurensis","12_18_19"
"181","Streptococcus henryi","12_18_19"
"182","Streptococcus plurextorum","12_18_19"
"183","Streptococcus porci","12_18_19"
"184","Streptococcus varani","12_18_19"
